Initial parameters - (100,90) cm
Number of elements - (Adaptive perimeter (cm) , Fixed perimeter(cm))
3-(97.88858829510909,0.0)
2-(111.20049193320665,0.0)
3-(238.95584432780961,29.19370043823918)
2-(81.59616129043866,0.0)
2-(174.7856161049745,2.1965876350714924)
2-(305.7060206299527,38.82579546841569)
3-(60.87589228471722,0.0)
2-(82.82650948253836,0.0)
2-(168.0644761801162,5.2622927962463)
3-(51.93030475965813,0.0)
4-(240.7469998087371,2.39311133010673)
3-(240.31807715403417,0.0)
2-(100.68865225880991,0.0)
2-(242.39715538744179,55.05667096452565)
3-(116.12933825034717,0.0)
4-(347.12792991229526,2.93761294707161)
3-(126.82060807708463,0.0)
2-(169.85010058681212,11.301812776689019)
2-(320.99109045972625,128.31496636397688)
3-(236.33336576049646,6.1887624421733936)
2-(109.95998902354614,0.0)
2-(144.75999707589895,0.0)
3-(157.96825125286043,0.0)
2-(264.3037519758848,55.89617163635658)
4-(149.8673471578252,0.0)
5-(65.10489538442312,0.0)
5-(222.29723080673668,0.0)
6-(65.3901512026093,0.0)
2-(94.25320631318657,0.0)
5-(113.19139324852016,0.0)
6-(157.59222916555652,0.0)
2-(92.67976837279552,0.0)
2-(296.52204922385425,130.86970207680372)
5-(154.66345198469654,0.0)
5-(93.72549801582761,0.0)
2-(100.55113177218315,0.0)
4-(71.15232870432845,0.0)
2-(275.61251446914724,94.88945141009214)
7-(87.30015756561366,0.0)
7-(362.6485136071135,0.0)
2-(252.44231716470446,101.3976640611563)
7-(521.633396825508,0.0)
7-(492.22718723141344,0.0)
2-(81.28792469150581,0.0)
3-(109.19881624553169,0.0)
2-(85.19276706393603,0.0)
2-(80.05784823493697,0.0)
3-(141.79111999535525,3.316751344920591)
2-(81.85184327894255,0.0)
4-(177.34829999951435,0.0)
4-(201.84693454813376,0.0)
2-(112.35448103465014,0.0)
2-(104.40803933594047,0.0)
6-(185.91112071086053,0.0)
2-(244.445567901425,23.04537340484815)
2-(140.25935122546062,0.0)
3-(128.62131691598142,0.0)
7-(147.8902676578416,0.0)
3-(90.36376601677311,0.0)
2-(84.24428491688712,0.0)
2-(103.9572962278972,0.0)
3-(319.2317737665002,0.6902308621978382)
2-(113.1742342331297,0.0)
3-(414.9249805635184,11.617899455778513)
3-(88.58126656409645,0.0)
3-(203.43900996361586,2.808822622771817)
3-(176.04183294636024,0.0)
2-(95.90888299229607,0.0)
6-(372.8299434406722,0.0)
2-(182.81576329403563,37.439393790063946)
2-(93.4279068409596,0.0)
3-(110.49713553220397,0.0)
4-(221.87360726674603,1.9127035109202244)
2-(117.55861150033442,0.0)
3-(77.07518553844552,0.0)
2-(161.09199166733566,0.0)
2-(163.21670306947829,10.032232339967933)
3-(113.74739764199565,0.0)
2-(179.54620043660685,5.769915704011941)
3-(102.06022055824894,0.0)
2-(62.732272309760674,0.0)
3-(102.99672296261468,0.0)
2-(102.46630988483719,0.0)
2-(151.7548847135228,2.4253063767001364)
3-(110.54528277110022,0.0)
2-(109.10282139596212,0.0)
2-(146.2751211501192,3.1875934391067138)
2-(114.73195493607236,0.0)
2-(303.3599210948419,102.02862558003669)
2-(77.61375669074155,0.0)
2-(176.73543824700198,9.01382927307114)
2-(190.70054229861714,2.4538672722248527)
2-(127.44702276623998,0.0)
2-(134.5163485369997,0.0)
3-(94.89077339485638,0.0)
2-(111.06243465414512,0.0)
3-(68.62567882615453,0.0)
5-(113.2298645182361,0.0)
3-(47.40640451794779,0.0)
2-(125.59388669489198,0.0)
2-(123.39338908798976,0.0)
2-(150.1654591676459,0.0)
2-(139.6626805698518,0.0)
3-(127.2332153816358,0.0)
4-(58.82249413473921,0.0)
2-(177.83524471095933,3.9759912435377083)
2-(98.40376163112003,0.0)
3-(98.81992302189553,0.0)
3-(170.20079049305593,0.0)
2-(146.62841923773223,0.0)
