Initial parameters - (65,55) cm
Number of elements - (Adaptive perimeter (cm) , Fixed perimeter(cm))
3-(110.56025021033358,14.889202750388762)
2-(115.38686339422149,30.61284130867101)
3-(245.98395739627458,194.08404550607156)
2-(90.09576142485935,3.1569943356419716)
2-(178.86499314153585,110.45697822073791)
2-(305.7060206299527,216.3689961055399)
3-(73.47090448155525,0.0)
2-(91.68367957171154,3.111978679979765)
2-(174.9712354751895,113.13929511929545)
3-(64.38143046226622,2.7331739347188493)
4-(234.52491035045958,77.05818482943671)
3-(242.88071067818854,2.2778964659150156)
2-(109.0999893025434,11.874828767623772)
2-(243.50567896390876,179.58081938764744)
3-(119.14133837787779,9.37066706342859)
4-(359.36798385842695,70.50271072971863)
3-(127.38931035545721,0.5687022783725769)
2-(178.5686418716865,112.69521883041338)
2-(320.99109045972625,239.9286196456583)
3-(234.7861751499531,123.38845119083204)
2-(120.9012814637,36.379797363511535)
2-(155.1655782610587,86.30511453573679)
3-(158.27203635142362,3.341636084195124)
2-(266.8949652305503,192.49012748943989)
4-(156.7905669993552,15.475432586949342)
5-(72.33877264935902,1.276566576165159)
5-(211.20149983703726,5.739171191223838)
6-(121.20085350292551,6.6639644537691005)
2-(100.60735505340139,9.001710715304334)
5-(119.7364738105094,0.7700094778810894)
6-(156.80623301011735,1.178994233158777)
2-(93.13631895591274,5.250331705848022)
2-(295.6524830970981,239.56546792132505)
5-(159.8332609646864,0.8616348299983093)
5-(92.0367503038307,0.0)
2-(113.15846022068318,34.1320355556952)
4-(73.64890164132242,15.39553311146288)
2-(277.58117528678406,209.07177883302455)
7-(75.78804887564263,2.398355977077298)
7-(364.0651093633913,3.3053900979815034)
2-(252.44231716470446,209.94786044197923)
7-(522.2053632693958,7.435563770539042)
7-(489.08531156823415,3.6655216070424403)
2-(90.02334346432434,0.0)
3-(115.24303116687109,48.75666703213778)
2-(93.80515061957983,4.1898082162591495)
2-(88.82157718373183,2.6054329307228006)
3-(149.66840443954166,80.43122011432433)
2-(86.91484389413488,5.2739589741586705)
4-(184.34889078896887,1.1667651315757526)
4-(199.75886281142894,4.872167385644608)
2-(121.08669458656597,45.98965804008996)
2-(109.82543760337136,11.819778038030998)
6-(182.46033424754987,1.7253932316553182)
2-(250.206911252637,200.82396824224818)
2-(149.14455899539928,85.36146036119662)
3-(140.35225135782986,58.654672209242335)
7-(145.3256965423877,0.0)
3-(101.33912221314232,8.048594544004082)
2-(95.74350481652155,0.9999321651856038)
2-(116.34755537133844,27.500331269589083)
3-(320.6122354908959,25.53854190132002)
2-(126.08006796146904,64.52916864169676)
3-(414.9249805635184,203.31324047612398)
3-(98.90464725389717,5.661208765374585)
3-(209.05665520915952,78.24577306292917)
3-(179.44909422919304,63.602210612878544)
2-(104.88281356467465,15.423943171275685)
6-(375.4041432803085,5.577432985878871)
2-(193.9679231463951,152.54561512334564)
2-(100.9235555273403,6.157139992384156)
3-(120.3402711686934,6.3504100880577)
4-(226.17719016631654,103.76416546742216)
2-(124.84906802748694,55.58973101953798)
3-(84.10982548838301,2.1409773760679314)
2-(135.0208856905096,55.16097159307405)
2-(171.70551504945115,129.26145514958682)
3-(119.94517251351465,47.759324009940485)
2-(188.0313705895656,127.27755229438105)
3-(104.64870441298714,18.85895379880687)
2-(67.58449226742171,0.0)
3-(111.57978320949925,2.9596759472015717)
2-(114.1225303214721,29.81823832627537)
2-(161.80258255985194,106.02053589574881)
3-(116.929356852106,11.088128667010052)
2-(106.80811578342754,10.013260854696332)
2-(158.3171408089668,105.19058349052156)
2-(127.70165418971531,66.51127822381007)
2-(303.3599210948419,222.36009620687383)
2-(83.36292385301871,0.0)
2-(182.85196525372885,115.8920906537718)
2-(197.36103918037028,138.46822464697382)
2-(137.276713351934,74.90902135994425)
2-(142.68653890367213,70.03020314290657)
3-(97.99022076705018,2.1457712576726315)
2-(123.75528432890457,47.28086503847893)
3-(79.78966485528971,3.9402303632241833)
5-(102.89352833814816,6.577668478237782)
3-(57.43468239674444,1.215548833793533)
2-(128.05651192420356,19.029376771953327)
2-(128.37602000128155,55.98132379051317)
2-(154.71592762727153,87.06562986083712)
2-(147.81816556663148,90.7297705891738)
3-(141.71822759431436,22.314748543856126)
4-(76.59619739847336,0.8463668220825785)
2-(183.2570509521471,134.8222485308696)
2-(107.32421594328957,16.447087638062555)
3-(103.43513920698406,2.17186644004166)
3-(169.26045463397827,22.88150590422299)
2-(153.09732008645574,86.25201131631307)
2-(290.0172720004689,210.23416327543768)
2-(206.4429093041637,166.81855051257756)
3-(188.9879774035139,11.619513981409535)
2-(275.36215198222743,223.8373321327923)
3-(367.1688575616016,191.35976929387002)
4-(213.12814227043646,98.92202619325037)
3-(205.374370856053,78.58074250742273)
4-(254.04903972726876,71.29763372991091)
3-(141.8813527817128,70.31656486835622)
2-(128.70935397991448,44.12146211481856)
3-(215.7018660517621,90.67721757589999)
2-(106.82883297778751,11.370395589219957)
2-(95.74437501147328,2.03171087557503)
4-(213.6935902603695,57.35498959369224)
4-(150.09172641976718,2.685537848465019)
2-(116.90745101066246,12.702218017255074)
2-(75.12447800896702,0.0)
5-(338.2638784529762,10.273481122868793)
2-(112.11332109254982,25.533662133643546)
3-(143.3763568401955,6.696984820561148)
4-(81.94893614082818,2.0151377739547915)
5-(217.84490905670893,2.542936681595824)
3-(89.64765605142085,5.64709644418399)
2-(75.38919895309118,0.0)
2-(93.48973365304974,3.518430836405098)
2-(191.69354387422084,132.71091498984518)
3-(209.34696342466748,117.9257206814182)
4-(219.75014012350064,4.205744308583744)
2-(76.15521040589638,0.0)
2-(257.27009390397757,257.27009390397757)
3-(370.1976085692339,85.1169419042573)
4-(445.890636063598,146.22519240920585)
3-(110.67666257139727,27.3511292561499)
5-(330.6590254711467,38.997991376165146)
4-(133.6762589043444,86.2427476802222)
4-(195.91651839435238,1.7155562031029106)
2-(76.07137689525689,0.0)
2-(148.388976409595,59.40839802875245)
2-(169.85641752673078,100.62146473050899)
3-(153.38629069398348,64.76310051523748)
3-(150.6872340461342,51.0018330617685)
2-(76.07137689525689,0.0)
2-(148.388976409595,59.40839802875245)
2-(169.85641752673078,100.62146473050899)
3-(153.38629069398348,64.76310051523748)
3-(150.6872340461342,51.0018330617685)
2-(257.3384079439367,213.31999605878966)
3-(150.06159127659808,32.287090543620124)
2-(95.0107501150532,6.759658110952401)
3-(284.83122462840583,165.70369986243733)
3-(167.43748097591694,80.5871167789326)
4-(358.63268696463984,163.9326357304855)
3-(71.1225141550793,3.621979887527187)
3-(186.28551561190372,61.721104570209064)
3-(170.52238110826903,104.22858283723572)
2-(222.7725537914764,222.7725537914764)
2-(86.57421799794841,0.0)
2-(177.5274432839459,136.64941358040576)
2-(89.12944706371937,0.0)
2-(114.97855467775994,24.917023598574616)
2-(148.27597511145842,89.36275285735218)
2-(121.25891596635779,50.87115471939549)
3-(191.91924836752108,64.62189701624442)
3-(77.76992742982898,2.490851768215163)
3-(120.16412710579439,45.206440100893715)
4-(372.23396435856847,29.306316817889645)
3-(66.10308128456282,1.3490424751951597)
3-(131.5070956588182,10.506076512687956)
3-(175.42549321953965,62.485629222004164)
2-(115.85837019050906,9.443724011552428)
2-(142.6071341590406,51.55989859365666)
2-(187.45024477131278,104.65729062659608)
2-(133.1655929555434,63.25365665388312)
4-(184.307722132302,50.054097168562)
2-(240.7025185729065,172.80285288592245)
2-(227.610437019692,198.22720141214023)
2-(147.72509594684922,122.28144188916568)
3-(195.23877101313343,106.01875902051606)
3-(140.04841187734417,60.118342659542854)
2-(153.5196095413692,148.25376541462037)
2-(114.0730211780531,30.11527759100602)
2-(91.8093214774007,4.6393008193367375)
2-(161.67322414992998,150.73293078640089)
2-(123.98737331088782,47.31472176921237)
2-(151.3861409446011,145.77924683554178)
2-(94.6539539464625,2.62265363579619)
3-(155.88893245211855,27.858478423002172)
2-(191.80489228957518,119.64067538854692)
2-(272.7274431590419,198.518456553612)
3-(314.4180253740079,211.80461123521036)
3-(109.79368143680904,3.049824484355806)
4-(88.50841354683843,2.7908058325579677)
2-(263.43288033393947,183.1003261661722)
2-(152.64284941705148,152.64284941705148)
2-(189.23088945262097,148.98546511095924)
2-(119.48710085255455,25.142077471058354)
3-(93.75318910100746,0.5223018891421028)
3-(94.21856473613467,2.6334381447987947)
2-(192.5225923610088,146.4681683060224)
2-(292.39580362652066,225.23486273751595)
5-(426.1369356128862,3.7257874151946337)
4-(287.24186508843803,158.49595770058457)
2-(255.69616296216415,178.35160538106751)
2-(103.97847959083288,4.751704712484299)
3-(147.98509415687138,70.13876858476715)
2-(134.47781872277375,65.38829717712852)
4-(258.31159428564456,54.87254965316438)
3-(159.06989019696348,2.9825604411930655)
4-(53.98933540617921,0.0)
3-(99.17126450342644,8.215371023952486)
4-(305.5603619599247,0.3565465133721408)
2-(100.22667323988868,1.8082131770083008)
4-(71.677908960644,0.0)
4-(311.65965796034715,2.376489766582168)
2-(180.3864278386384,94.04535413089543)
2-(89.02627410138102,0.0)
3-(54.177684327965494,0.0)
4-(39.3354694740277,0.0)
3-(84.40019269239606,1.5533777796146515)
4-(88.84041651449988,0.0)
4-(108.67498003509661,1.6515954412628664)
5-(126.11145568853696,2.580285538384388)
4-(208.43626623478508,3.0318002361423284)
2-(107.8486004007451,16.177290060111762)
3-(71.8563039016995,0.0)
5-(70.0671007216339,0.0)
2-(102.89793491613459,6.271431699177503)
2-(85.7245186824846,0.0)
2-(116.35391079675416,28.56771211378107)
4-(67.39818257786764,0.0)
3-(141.03607940516545,61.953833330434435)
3-(88.69399911829395,4.326536542355802)
2-(311.37892960538176,235.17303367564355)
5-(109.83947168176367,0.7762506832633473)
2-(101.08427018587315,1.2959521818701687)
3-(164.37395981887414,5.847295013319632)
3-(135.59149613379807,57.7823324928534)
2-(90.1128718651819,3.668717429625726)
3-(324.3764457729183,85.72110278683728)
2-(115.28690380191391,25.282215746033756)
4-(272.1261936251459,9.788712000904528)
5-(159.16742790784303,0.38916241542259905)
3-(93.35908691100992,2.5773981049051824)
3-(90.84511313927676,1.939753305464984)
3-(234.7947300350596,146.2148401206796)
3-(244.8001108445769,107.07580125689894)
4-(239.26871335381497,5.7111878815609085)
3-(177.19549772053813,45.379334782089025)
4-(80.16367788278993,1.6585588527473778)
3-(180.44036036829252,41.5081437349114)
2-(92.36329792794086,0.959618679770814)
3-(119.85055736497446,4.3469114070198)
3-(259.361869029283,0.5789327433689352)
4-(313.9832679234816,1.569916339617408)
2-(85.02849093170654,0.0)
2-(100.99966987329293,1.60742180169697)
2-(112.11941841591711,17.17365271140962)
3-(149.87084049222062,3.2261824763491718)
4-(66.92623147956154,0.0)
4-(286.78012668924254,16.576885935794365)
4-(120.47037226742175,14.408416616701606)
5-(133.80713676682197,3.0214514753798514)
5-(140.49202330577373,0.4060463101322941)
2-(121.12721438529903,40.47642575468846)
6-(400.38781817791875,46.198594405144476)
2-(254.0074081416473,211.6728401180394)
4-(66.82977590639607,0.0)
4-(230.1593601058284,116.33054614044588)
5-(230.80057857249818,55.01391816998094)
3-(89.54701692638425,1.9406474256491943)
2-(128.95262233416167,56.899958056320735)
2-(126.60201599645214,30.854649933371316)
2-(219.71020359777384,139.2440918366435)
4-(76.12130813389602,0.0)
4-(94.37062147381594,0.36863524013209353)
2-(174.8868356883147,93.25408256313702)
3-(176.64990231518453,33.66412676733379)
4-(66.26998927994504,1.8106554448072416)
4-(84.01379153124645,1.7938887871440528)
2-(115.39902474146741,24.943018368598427)
3-(201.13566709428068,28.24747947347766)
2-(138.74416195975485,54.91403733397563)
3-(120.29274032220916,19.463095063368673)
3-(153.7532847004157,57.95058442956844)
3-(197.9119849673838,7.611999421822453)
4-(117.49246376864062,1.816893769618154)
2-(101.43748879950424,1.7840764361721848)
3-(264.02272961745797,172.00304297137333)
3-(166.76183742891757,3.9705199387837524)
3-(182.50085486275484,82.105061653177)
3-(111.60538333026618,4.133532715935785)
2-(113.49878909238161,16.80371682666429)
4-(98.68550356186299,0.30935894533499375)
2-(89.30674788135414,4.197183973536227)
2-(156.58382043371626,75.10480590714532)
2-(126.85321974640415,76.17994966003896)
2-(77.30093866106513,0.0)
3-(124.06260317725061,17.375714730707372)
4-(311.8371567643581,1.0840225611738983)
2-(124.02103711896001,51.5412102312561)
3-(243.54819509500433,4.199106811982833)
2-(122.71999568119641,43.17925773968022)
3-(114.30190795886229,46.64043370735185)
2-(53.537820696684605,0.0)
4-(72.0712079147451,0.7065804697524029)
4-(54.9596011310562,0.0)
4-(307.29815530863846,18.549888646193438)
3-(150.13924110383078,19.728764421216066)
3-(201.62063191927675,78.68122221240068)
2-(261.1280341012567,186.62437122481418)
2-(120.77495561468602,50.16314294049128)
3-(316.5002585013843,78.6676943095926)
3-(155.70963806948484,47.09267102589298)
2-(98.09944092700454,2.515370280179604)
3-(129.45766634896273,24.7247474357461)
4-(106.15600988785921,0.8584043926241985)
3-(107.98382100788191,2.440312339161173)
2-(101.308826418216,1.9063488842137422)
3-(104.06982052735408,2.319104635707055)
5-(193.5636089322547,1.281878204849369)
3-(86.23875904064987,0.0)
3-(94.58292914071096,2.9373580478481665)
4-(136.6570360539741,2.3974918605960376)
2-(67.75839345445111,0.0)
4-(106.13269794871692,4.725085867579864)
5-(270.7307832049715,5.751488565811231)
4-(325.21587358944083,74.46322071151334)
7-(200.57185752344745,2.906838514832572)
3-(113.14501904197759,2.9775005011046733)
2-(88.7263317053688,1.470602182961914)
5-(140.55542064944405,2.2609451042806015)
2-(80.44477295724964,0.0)
4-(84.90374467872107,1.3964431690579124)
2-(100.33287647835566,1.8678992961395997)
2-(85.90401262019812,0.46814175814821857)
