Initial parameters - (95,85) cm
Number of elements - (Adaptive perimeter (cm) , Fixed perimeter(cm))
3-(97.88858829510909,0.0)
2-(111.46214014952008,0.0)
3-(242.74021290313692,42.709302492979546)
2-(81.83900700856495,0.0)
2-(175.09941433855613,5.962166438051193)
2-(305.7060206299527,72.75124781945854)
3-(61.13828837215134,0.0)
2-(83.30527543330447,0.0)
2-(170.69562257823935,2.960039697888544)
3-(52.233990752404665,0.0)
4-(240.7469998087371,3.8289781281707684)
3-(240.31807715403417,0.0)
2-(101.4308290567864,0.0)
2-(242.76666324626413,79.81369750562108)
3-(114.12133816532675,0.0)
4-(350.5551450172121,2.4480107892263416)
3-(126.82060807708463,0.0)
2-(170.4959184597658,4.1978161741987785)
2-(320.99109045972625,148.27507224281769)
3-(236.7201634131323,27.84943098978027)
2-(112.42177982258076,0.0)
2-(144.75999707589895,6.120930108917503)
3-(157.96825125286043,0.0)
2-(264.3037519758848,87.3609040144381)
4-(151.08909183574227,0.0)
5-(65.95593976853323,0.0)
5-(222.29723080673668,0.0)
6-(65.80664898096987,0.0)
2-(94.78271870820447,0.0)
5-(345.3492508296686,0.0)
6-(157.59222916555652,0.0)
2-(85.6032343344786,0.0)
2-(295.6524830970981,149.13059073868334)
5-(154.23263456969738,0.0)
5-(94.14768494382683,0.0)
2-(103.62608993035387,0.0)
4-(71.98451968332644,0.0)
2-(277.1874431232567,115.75725607704186)
7-(88.25949995644457,0.0)
7-(362.6485136071135,0.0)
2-(252.44231716470446,119.91010065323462)
7-(521.633396825508,6.291630882763804)
7-(492.22718723141344,0.0)
2-(81.53057521297299,0.0)
3-(109.60176390695433,0.0)
2-(85.42553418706156,0.0)
2-(80.7684208524068,0.0)
3-(142.20571391347036,2.9021574268055175)
2-(81.85184327894255,0.0)
4-(177.34829999951435,0.0)
4-(202.54295846036868,0.0)
2-(112.35448103465014,0.0)
2-(104.9005300875251,0.0)
6-(186.34246901877438,0.0)
2-(244.445567901425,62.140203288072684)
2-(140.89400892331338,1.9039730935582888)
3-(134.06782219255393,0.418961944351731)
7-(147.8902676578416,0.0)
3-(90.36376601677311,0.0)
2-(87.24408141244393,0.0)
2-(104.5616991129431,0.0)
3-(320.6122354908959,1.725577155494596)
2-(114.1669906737712,0.0)
3-(414.9249805635184,58.91934724001961)
3-(88.9142788444126,0.0)
3-(204.64279108766092,0.8025207493633763)
3-(177.55617129428592,1.5143383479256798)
2-(95.90888299229607,0.0)
6-(373.25897674727815,2.1451665330303347)
2-(184.01063756393128,58.15054780158867)
2-(93.96331031855821,0.0)
3-(108.27449200138376,0.0)
4-(220.43907963355585,1.4345276331901682)
2-(116.34353541247565,0.0)
3-(78.60445509277976,0.0)
2-(143.5282992197897,0.0)
2-(163.21670306947829,32.02597246989764)
3-(113.74739764199565,0.0)
2-(180.22501404884355,9.163983765195434)
3-(100.58108692696997,0.0)
2-(62.90556587967715,0.0)
3-(103.29269055733485,0.0)
2-(105.71920861133994,0.0)
2-(152.79430173210858,0.34647233952859086)
3-(110.88128667010051,0.0)
2-(104.72201977203248,0.0)
2-(148.75436049164665,2.4792393415274443)
2-(115.7296241094295,0.0)
2-(303.3599210948419,125.39395968233516)
2-(77.83487850467529,0.0)
2-(175.12582587681072,5.79460453268859)
2-(190.70054229861714,28.74530233177684)
2-(128.1249324618051,0.0)
2-(134.5163485369997,0.0)
3-(95.36761145211696,0.0)
2-(114.235647072835,0.0)
3-(69.28238388669189,0.0)
5-(113.69969798096737,3.288834239118891)
3-(48.01417893484456,0.0)
2-(125.59388669489198,0.0)
2-(123.68648502406576,0.0)
2-(151.07555285957102,0.9100936919251267)
2-(140.34230431958346,3.7379306235240137)
3-(128.01618901475356,0.0)
4-(58.82249413473921,0.0)
2-(178.19669846037183,24.57885496005129)
2-(98.40376163112003,0.0)
