Initial parameters - (110,100) cm
Number of elements - (Adaptive perimeter (cm) , Fixed perimeter(cm))
3-(99.47254603451213,0.0)
2-(110.6771955005798,0.0)
3-(256.25581495787725,1.0812481643792289)
2-(81.11046985418604,0.0)
2-(174.47181787139286,0.0)
2-(305.7060206299527,19.22442299892428)
3-(56.41515879833707,0.0)
2-(85.93848816251811,0.0)
2-(167.73558288035082,0.0)
3-(47.07132887571351,0.0)
4-(240.26837754271574,3.3503558621494225)
3-(239.17912892107665,0.0)
2-(100.44125999281773,0.0)
2-(241.28863181097486,1.8475392941115991)
3-(116.12933825034717,0.0)
4-(347.6175320701405,0.0)
3-(125.96755465952576,0.0)
2-(171.14173633271946,0.0)
2-(320.99109045972625,80.65512171449976)
3-(235.5597704552248,2.70758356845086)
2-(109.41292440153846,0.0)
2-(145.67813659223657,0.0)
3-(157.96825125286043,0.0)
2-(265.0440986200749,29.24369244551106)
4-(145.38761667212935,0.0)
5-(69.36011730497364,0.0)
5-(223.0624536322332,0.0)
6-(64.1406578675276,0.0)
2-(93.98845011567761,0.0)
5-(112.03637903169852,0.0)
6-(155.234240699239,0.0)
2-(128.51898914749722,0.0)
2-(296.0872661604762,89.13052799250751)
5-(153.80181715469823,0.0)
5-(92.88112415982917,0.0)
2-(101.78111503545144,0.0)
4-(71.15232870432845,0.0)
2-(275.61251446914724,39.76694851626268)
7-(86.34081517478273,0.0)
7-(363.12071219253943,0.0)
2-(250.75936838360644,57.64099575260752)
7-(521.633396825508,0.0)
7-(493.2744791191398,0.0)
2-(80.80262364857143,0.0)
3-(111.61650221406745,0.0)
2-(84.727232817685,0.0)
2-(79.82099069578035,0.0)
3-(138.88896256854977,0.0)
2-(86.28196881723585,0.0)
4-(175.79261315741337,0.0)
4-(200.80289867978135,0.0)
2-(108.86159561388382,0.0)
2-(103.91554858435586,0.0)
6-(185.04842409503289,0.0)
2-(351.85346894902085,26.337569605540743)
2-(137.40339158512316,0.0)
3-(128.2023549716297,0.0)
7-(147.03541061935698,0.0)
3-(89.2662303971362,0.0)
2-(83.99430187559072,0.0)
2-(103.65509478537425,0.0)
3-(323.37315893968724,0.0)
2-(110.19596491120522,0.0)
3-(414.9249805635184,14.522374319723141)
3-(87.582229723148,0.0)
3-(203.0377495889342,0.0)
3-(174.52749459843457,0.0)
2-(92.5436590276541,0.0)
6-(373.6880100538842,0.0)
2-(182.81576329403563,4.779497079582631)
2-(93.16020510216028,0.0)
3-(110.1796150278011,0.0)
4-(221.39543138901595,3.825407021840449)
2-(117.25484247836972,0.0)
3-(77.07518553844552,0.0)
2-(223.11378062273232,0.0)
2-(160.12986234948815,2.3151305399926)
3-(115.20569761176483,0.0)
2-(180.56442085496192,0.0)
3-(100.95087033478973,0.0)
2-(62.38568516992774,0.0)
3-(100.03704701541312,0.0)
2-(103.82168435421333,0.0)
2-(151.7548847135228,0.0)
3-(109.20126717509899,0.0)
2-(120.99356866091401,0.0)
2-(147.3376522964881,0.0)
2-(111.73894741600091,0.0)
2-(303.3599210948419,33.49031221329449)
2-(77.39263487680782,0.0)
2-(176.09159329892546,0.0)
2-(189.99943736369573,0.0)
2-(124.39642913619701,0.0)
2-(133.64097099771337,0.0)
3-(94.4139353375958,0.0)
2-(110.74511341227614,0.0)
3-(69.93908894722925,0.0)
5-(113.2298645182361,0.0)
3-(46.798630101051025,0.0)
2-(125.81776171573847,0.0)
2-(120.16933379115393,0.0)
2-(149.86209460367084,0.0)
2-(139.32286869498597,0.0)
3-(127.2332153816358,0.0)
4-(57.97612731265663,0.0)
2-(174.94361471565918,2.1687224964751137)
2-(95.33735546131176,0.0)
3-(101.80623937695283,0.0)
3-(169.5738999203375,0.0)
2-(174.96836581309228,0.0)
2-(290.0172720004689,31.383876891836923)
2-(200.89549907334163,5.943653818737918)
3-(176.34321218845056,0.0)
2-(275.7844865711573,63.77252292839931)
3-(370.19260109446185,5.183560342046142)
4-(208.03344564245788,2.1227902616577334)
3-(210.0704311652615,0.0)
4-(249.95147457037734,2.048782578445716)
3-(129.39912233170878,0.0)
2-(124.27110039440018,0.0)
3-(215.7018660517621,0.0)
2-(94.4007261709657,0.0)
2-(83.55410975802312,0.0)
4-(211.84342930573422,0.0)
4-(134.57528551752486,0.0)
2-(109.38021070414092,0.0)
2-(66.92230174992349,0.0)
5-(337.5028798512822,0.0)
2-(99.49323521040417,0.0)
3-(143.3763568401955,0.0)
4-(70.5298220884177,0.0)
5-(203.4349345276659,0.0)
3-(76.94168905200685,0.0)
2-(67.70389226369839,0.0)
2-(81.1752257256319,0.0)
2-(246.56110562712843,0.0)
3-(205.50573473797635,4.609474424029376)
4-(219.75014012350064,0.0)
2-(112.32391191793162,0.0)
2-(168.81770405486938,16.679593514403262)
3-(369.3830923787625,2.036290476178404)
4-(452.1436870547812,32.22726280071313)
3-(115.12917198518913,0.0)
5-(229.59380838362017,2.1970699366853603)
4-(130.44215586633607,0.0)
4-(225.767196328343,0.0)
2-(67.44472590713497,0.0)
2-(139.67574469871133,0.0)
2-(164.00991040171644,0.0)
3-(150.65942330386824,0.0)
3-(136.3912656879112,0.0)
2-(67.44472590713497,0.0)
2-(139.67574469871133,0.0)
2-(164.00991040171644,0.0)
3-(150.65942330386824,0.0)
3-(136.3912656879112,0.0)
2-(255.64539210220028,52.06023713339509)
3-(143.09051490922553,0.0)
2-(95.0107501150532,0.0)
3-(287.07046381573605,4.030630537194422)
3-(164.93218200869626,0.0)
4-(361.51713216810884,2.4037043362241275)
3-(60.58584539136386,0.0)
3-(182.54484260764863,1.8703365021275473)
3-(166.4710934361503,3.314689913551666)
2-(174.63102733653872,33.03830246907489)
2-(77.75856655690406,0.0)
2-(168.96252277463273,3.503831117446301)
2-(101.34719149267868,0.0)
2-(101.76953011947944,0.0)
2-(140.33261930191603,0.0)
2-(108.46114119418283,0.0)
3-(191.52995983127863,0.0)
3-(71.40441735550134,0.0)
3-(119.77774727587223,0.0)
4-(370.4843335037691,0.8748154273996909)
3-(62.055953858977354,0.0)
3-(113.3931706369424,0.0)
3-(170.38006974198652,2.328656989639907)
2-(108.02698930288022,0.0)
2-(139.08597035264455,0.0)
2-(181.03670606996147,0.0)
2-(121.36227903448386,0.0)
4-(338.3501762091943,1.5520650284825428)
2-(238.54697363046262,5.748119846517171)
2-(221.03210068964313,50.87246761904485)
2-(131.39558662624637,0.0)
3-(194.11885454460682,0.7466109790177186)
3-(133.21678202966882,0.0)
2-(142.9879212878716,3.645584395441485)
2-(101.60103752925264,0.0)
2-(82.77489356606074,0.0)
2-(148.7069505338955,0.0)
2-(112.87126397956685,0.0)
2-(133.76447374470044,0.0)
2-(112.53568328143652,0.0)
3-(151.73979736784162,0.0)
2-(184.8416783780725,0.0)
2-(270.46727097816586,31.642410532264535)
3-(316.610619693213,19.73334887284569)
3-(104.30399736496858,0.0)
4-(87.71104045182186,0.0)
2-(258.3668634044406,8.322742098462372)
2-(135.95389788078717,0.0)
2-(183.03928570774994,1.934876170272198)
2-(163.05010637171506,0.0)
3-(86.96326454216013,0.0)
3-(81.34397825045166,0.0)
2-(184.21769621994568,1.1324858374176987)
2-(292.39580362652066,60.19913604075426)
5-(425.6712121859869,0.0)
4-(440.09557186764266,30.262982214674725)
2-(255.34299146636008,13.420516840555576)
2-(91.40043770484506,0.0)
3-(145.67282706067027,0.0)
2-(122.1404041610514,0.0)
4-(255.69861573073192,3.7328265070179847)
3-(157.57860997636695,0.0)
4-(46.7715098171178,0.0)
3-(83.91414688751468,0.0)
4-(307.3430945267854,0.0)
2-(88.08581333711865,0.0)
4-(69.37500425508117,0.0)
4-(313.35715065076295,0.0)
2-(180.3864278386384,0.0)
2-(79.7921658834186,0.0)
3-(41.0437002484587,0.0)
4-(22.309669253926153,0.0)
3-(78.70447416714234,0.0)
4-(80.26508673510801,0.0)
4-(102.39891735829771,0.0)
5-(123.53117015015256,0.0)
4-(194.03521511310902,0.0)
2-(95.71563285566127,0.0)
3-(83.37173721927954,0.0)
5-(71.077683905119,0.0)
2-(91.9809982546034,0.0)
2-(77.28195244860353,0.0)
2-(103.26037607793783,0.0)
4-(59.67856695220879,0.0)
3-(130.10304999391232,0.0)
3-(81.27707933139828,0.0)
2-(310.55951136957805,24.582547074109083)
5-(100.13633814097182,0.0)
2-(88.90231967629359,0.0)
3-(162.4248614811009,0.0)
3-(130.3385568162659,0.0)
2-(102.49479319016872,0.0)
3-(324.70114691983815,3.5717126161182198)
2-(155.73844899556792,0.0)
4-(267.55812802472377,0.0)
5-(148.27088027601022,0.0)
3-(286.37756721168694,0.0)
3-(76.29696334828937,0.0)
3-(233.24748304965559,6.962611434318077)
3-(243.2482876379552,0.0)
4-(239.26871335381497,0.0)
3-(172.8736563127201,0.0)
4-(69.93589829084776,0.0)
3-(178.38210530705723,0.0)
2-(82.76711113023272,0.0)
3-(109.91475986321493,0.0)
3-(257.3356044274917,0.0)
4-(313.9832679234816,0.0)
2-(77.18898467559175,0.0)
2-(88.67610272694951,0.0)
2-(105.00461943547597,0.0)
3-(149.28426186015713,0.0)
4-(51.00545394697862,0.0)
4-(287.4432021266743,0.0)
4-(120.47037226742175,0.0)
5-(135.53368046703903,0.0)
5-(142.11620854630291,0.0)
2-(108.44057347711308,0.0)
6-(396.281276453017,0.0)
2-(252.31402542070296,46.56802482596867)
4-(57.01118323768385,0.0)
4-(278.52618215705326,4.169553625105587)
5-(222.6344500941416,2.578777414217857)
3-(79.01207375857433,0.0)
2-(116.27382733248152,0.0)
2-(118.76591442607213,0.0)
2-(219.71020359777384,0.0)
4-(118.33984877958625,0.0)
4-(93.63335099355176,0.0)
2-(169.21789449906626,0.0)
3-(172.83232092919823,0.0)
4-(61.562285123446216,0.0)
4-(81.3229583505304,0.0)
2-(101.87570152957669,0.0)
3-(202.1566603282618,0.0)
2-(130.78560582439607,0.0)
3-(117.85985343928807,0.0)
3-(141.6942035474419,0.0)
3-(185.3356380965467,0.0)
4-(110.52770431843771,0.0)
2-(89.20382180860923,0.0)
3-(264.02272961745797,5.824030800385102)
3-(166.76183742891757,0.0)
3-(179.24916925272802,0.0)
3-(108.84969485297566,0.0)
2-(100.52749891039512,0.0)
4-(96.51999094451804,0.0)
2-(80.21284927202566,0.0)
2-(147.9924957727513,0.0)
2-(110.18885575827063,0.0)
