Initial parameters - (54,45) cm
Number of elements - (Adaptive perimeter (cm) , Fixed perimeter(cm))
3-(116.2624980721846,38.64856884143466)
2-(118.78829020629605,65.93535051098371)
3-(250.30895005379148,243.8214610675161)
2-(93.49560147862762,14.813588805704637)
2-(179.80638784228077,138.38502100950404)
2-(305.7060206299527,243.50935798637417)
3-(74.52048883129176,0.2623960874341259)
2-(95.03504122707436,23.459531587539765)
2-(175.95791537448568,140.43743899982314)
3-(65.89986042599891,7.5921498186634695)
4-(238.8325107446517,134.49285675199823)
3-(242.59597361994915,1.4236852911968847)
2-(110.08955836651205,50.22062999640887)
2-(245.35321825802038,205.44636950520982)
3-(123.82667190959206,49.86533544467357)
4-(360.3471881741175,120.93173298778127)
3-(126.82060807708463,14.217556959314422)
2-(179.537368681117,142.40284098628163)
2-(320.99109045972625,265.5916129184536)
3-(235.94656810786063,149.3038939174331)
2-(121.72187839671153,69.20367468397308)
2-(156.08371777739634,114.76743954220318)
3-(158.27203635142362,46.47912008016855)
2-(266.52479190845526,218.40226003609527)
4-(158.41955990324462,65.15971615557619)
5-(75.31742799374439,3.4041775364404243)
5-(211.96672266253378,30.22630160711222)
6-(122.45034683800723,3.3319822268845503)
2-(101.40162364592824,47.12660315659328)
5-(121.66149750521213,5.005061606227082)
6-(157.59222916555652,1.9649903885979618)
2-(94.04942012214715,24.425456196771233)
2-(296.52204922385425,265.2176686606321)
5-(165.4338873596754,2.1540870749957737)
5-(90.34800259183382,1.2665607839976702)
2-(116.84841001048807,95.93869453492704)
4-(72.81671066232444,45.77050384488965)
2-(277.97490745031143,235.05810162582986)
7-(83.94245919770543,1.9186847816618386)
7-(363.12071219253943,6.610780195963007)
2-(256.22895192217504,235.19209215844967)
7-(521.0614303816204,57.76861083264947)
7-(488.56166562437096,49.22271872314135)
2-(93.90575180779925,14.073730245096527)
3-(120.0784031039426,101.54281067850181)
2-(94.50345198895637,21.88010957379778)
2-(92.1375827319245,11.132304340361058)
3-(148.0100287670814,121.06142408960157)
2-(90.29017763759643,13.29037661487985)
4-(186.29349934159515,37.72540592094933)
4-(202.19494650425122,30.62505213833753)
2-(124.57958000733228,77.13455304192301)
2-(109.0867014759944,53.4352465469318)
6-(184.18572747920524,12.940449237414885)
2-(250.61843577772362,235.3920283495204)
2-(152.95250518251586,113.60372791564457)
3-(146.21771857875413,124.01273552811237)
7-(147.8902676578416,2.991999634696218)
3-(102.80250303932488,61.827839906213185)
2-(96.74343698170718,23.998371964454492)
2-(117.55636114143026,89.75382842931822)
3-(321.99269721529157,64.19147018439897)
2-(127.40374321565771,122.1090421989031)
3-(414.9249805635184,236.92216390176898)
3-(100.56970865547792,37.297375395409034)
3-(209.85917595852288,128.0020595234585)
3-(181.34201716410013,106.00368435479757)
2-(108.52847285970346,63.65881999781055)
6-(374.54607666709643,32.17749799545502)
2-(194.7645059929922,194.7645059929922)
2-(101.72666074373825,47.38320776747808)
3-(121.61035318630495,32.38709144909427)
4-(226.17719016631654,158.27621552864855)
2-(128.79806531302788,90.82693756744183)
3-(89.00348806225257,12.54001034554074)
2-(135.5697510794954,90.28835648816599)
2-(182.12360247941785,182.12360247941785)
3-(122.1326224681684,74.73787345067022)
2-(187.35255697732893,154.43009678384902)
3-(103.16957078170817,76.17538201086695)
2-(69.14413439666991,2.772697118663455)
3-(109.8039776411783,18.6459584673699)
2-(114.93575500309778,63.16045027292874)
2-(160.76316554126618,139.28188049049353)
3-(121.96941533711058,48.04855755704356)
2-(107.43394458684607,37.54972820511125)
2-(161.85891129686314,147.3376522964881)
2-(129.03187975419152,124.04353388740576)
2-(303.3599210948419,248.4513859544405)
2-(82.69955841121751,3.7590708368735237)
2-(184.13965514988183,143.25550094702345)
2-(198.41269658275237,165.1102121739865)
2-(141.34417152532467,131.51448093963063)
2-(146.18804906081746,100.08483199173732)
3-(98.46705882431077,6.675732801648187)
2-(127.56313923133241,107.2545797517173)
3-(81.10307497636444,33.49195808740556)
5-(102.89352833814816,46.51351281039574)
3-(58.954118438986356,2.7349848760354494)
2-(125.59388669489198,66.04313114972038)
2-(129.25530780950947,86.75639707849162)
2-(158.052937830997,115.88526343846614)
2-(151.55609619015547,131.50719557307215)
3-(147.19904302613867,91.2164282582189)
4-(78.71211445367979,31.315572417055407)
2-(186.51013469685978,161.56982598739597)
2-(111.22691470486373,61.04935919891017)
3-(102.89217259697364,8.958949065171849)
3-(169.88734520669672,55.16637039922255)
2-(154.32949167668878,115.51608658434787)
2-(290.0172720004689,236.324374185519)
2-(210.00910159540646,194.9518452546037)
3-(193.08898233812903,56.047067439740104)
2-(275.36215198222743,250.44441123536947)
3-(366.7368941997645,221.16524126063536)
4-(213.55270032276798,123.97095128081163)
3-(205.374370856053,105.81789230083218)
4-(255.68806579002535,111.04401575175781)
3-(147.7063936583814,112.75614839837002)
2-(129.23150146056324,78.06104835698667)
3-(215.7018660517621,117.1247393688708)
2-(107.88654419538938,47.06814918328262)
2-(96.76023044926079,29.967735414731695)
4-(214.61867073768713,110.5471170394552)
4-(150.688512608315,2.3871447541911284)
2-(119.73016612560801,57.39520733722663)
2-(75.49730420255992,2.4233702583537755)
5-(337.8833791521292,49.084409809262006)
2-(113.28728256995872,79.24239972510067)
3-(138.50582242524197,39.268683720563104)
4-(82.95650502780559,2.3509940696139235)
5-(218.69255461724086,21.6149617935645)
3-(91.41237369022834,44.117940970187426)
2-(75.93814943090496,1.4638679408367221)
2-(93.99236662967904,26.639547761352887)
2-(194.7798442228219,159.45885134438763)
3-(212.41994637402038,148.27142730627827)
4-(219.75014012350064,37.851698777253695)
2-(79.5711433264775,4.018744612448358)
2-(305.2871055363506,305.2871055363506)
3-(370.1976085692339,137.24597809442443)
4-(446.8526439083954,169.31338068434357)
3-(116.40131753198679,65.19745927338057)
5-(332.30682792366076,126.33152135940823)
4-(167.6343408034319,167.6343408034319)
4-(195.2302959131112,21.27289691847609)
2-(76.65955764444702,3.9212049946008705)
2-(149.18108838331173,94.78939952143168)
2-(169.54870662541418,128.62315675031425)
3-(154.40886596527673,98.84894289167826)
3-(152.61912166211027,85.77581014933793)
2-(76.65955764444702,3.9212049946008705)
2-(149.18108838331173,94.78939952143168)
2-(169.54870662541418,128.62315675031425)
3-(154.40886596527673,98.84894289167826)
3-(152.61912166211027,85.77581014933793)
2-(258.1849158648049,239.56174160570427)
3-(151.89608505748558,86.58810645789033)
2-(95.0107501150532,25.724254477791085)
3-(284.83122462840583,205.56215739691552)
3-(169.10768028739741,132.78084526269723)
4-(358.151946097395,206.23783204803016)
3-(72.76886864940985,26.67094280815474)
3-(187.03365021275474,116.70899773275896)
3-(172.73217438397012,137.37548197275237)
2-(271.3860559959723,271.3860559959723)
2-(87.70442972115922,2.9385504803481184)
2-(186.09236379325907,186.09236379325907)
2-(89.73031974055344,7.6110539065648)
2-(115.87916998855182,87.65989025040707)
2-(149.26889458765123,119.81228346059811)
2-(125.41819276731465,110.0608630407047)
3-(190.75138275879374,119.90086916267036)
3-(76.66288219951113,6.088748766748176)
3-(121.3232665955609,94.66305833093128)
4-(372.67137207226835,117.22526727155858)
3-(65.42856004696525,27.99263136029957)
3-(133.31848816100577,55.790889067377414)
3-(175.81360271781298,127.68802493192156)
2-(116.54937438647633,52.74665362550015)
2-(143.11015755995436,86.26851325670359)
2-(187.74176925773781,132.93516580982677)
2-(136.79738185433095,93.21591506888038)
4-(183.14367336094003,79.15531645260968)
2-(242.1395485345358,198.6693921952497)
2-(237.69721939243365,237.69721939243365)
2-(175.44728618880293,175.44728618880293)
3-(199.34513139773088,140.73616954483995)
3-(142.09790083164677,87.44486205024417)
2-(200.10207681645485,200.10207681645485)
2-(115.289800070619,91.86680638872542)
2-(95.22775366006988,21.731461732682614)
2-(201.78763314953667,201.78763314953667)
2-(125.12748708845919,78.95287909681821)
2-(197.04227868979822,197.04227868979822)
2-(97.753453697858,31.948689745153587)
3-(151.73979736784162,56.9024240129406)
2-(192.12140201282534,147.49353103455786)
2-(272.3507477955626,224.51043663368645)
3-(319.6802517401001,236.36166761030722)
3-(108.57375164306671,27.14343791076668)
4-(87.71104045182186,31.49623725315421)
2-(257.6431467002265,209.15412751788048)
2-(203.52379922273528,203.52379922273528)
2-(193.10064179316535,183.42626094180434)
2-(120.23389523288301,62.232865027372156)
3-(95.84239665757588,30.032358625670916)
3-(93.04814778289075,23.115734826567202)
2-(196.2975451524011,172.51534256662947)
2-(292.80532155877074,251.4440104015178)
5-(425.6712121859869,30.272022748456397)
4-(287.75479699038175,201.5822374638503)
2-(256.0493344579682,204.48629607057052)
2-(107.33262409376299,62.33118534611757)
3-(147.5997163075045,101.73975223284907)
2-(135.711560178946,94.99809212526219)
4-(259.0581595870481,92.57409737404602)
3-(159.06989019696348,1.4912802205965328)
4-(60.918447971678134,2.3097041884996448)
3-(100.63829504341797,38.43620014777771)
4-(306.63000150004115,22.462430342444875)
2-(101.00162174432081,35.38931503573389)
4-(70.23859351966722,0.0)
4-(311.65965796034715,25.801888894320673)
2-(180.3864278386384,123.79981645479455)
2-(92.3410821796239,5.445756128541923)
3-(59.33746378777173,0.7036062899735778)
4-(38.161276355400005,2.054837957598462)
3-(85.95357047201071,10.87364445730256)
4-(89.86945608802691,0.6860263823513504)
4-(112.96912818238005,2.642552706020586)
5-(127.72413415002723,1.290142769192194)
4-(213.74191664803413,13.264126033122686)
2-(108.92708640475254,50.6888421883502)
3-(72.7775385671059,2.0727779971644087)
5-(71.4145449662807,2.35802742813191)
2-(103.59476066048765,39.95134267624187)
2-(86.5904229116006,0.8659042291160061)
2-(117.54423213482838,83.9176543342319)
4-(69.17963233763507,0.8907248798837134)
3-(139.57834215033168,89.28640685856728)
3-(93.63861230955771,32.44902406766852)
2-(311.37892960538176,262.21383545716355)
5-(106.3463436070786,2.3287520497900425)
2-(101.86184149499526,38.61937501973103)
3-(165.02365926479854,64.64509486947817)
3-(133.94995259706926,82.73379425113103)
2-(91.03005122258833,18.34358714812863)
3-(324.70114691983815,114.29480371578303)
2-(116.04537027429492,61.941428577782695)
4-(272.1261936251459,6.5258080006030195)
5-(160.7240775695334,3.1132993233807924)
3-(94.79097474706838,5.154796209810365)
3-(89.87523648654427,14.224857573409881)
3-(235.9551652741126,173.67847411160093)
3-(244.8001108445769,138.5002211909888)
4-(239.26871335381497,45.68950305248727)
3-(176.4751908192351,96.88127822525355)
4-(81.26938378462151,3.3171177054947556)
3-(181.12644538870427,80.95803240858751)
2-(95.96186797708141,15.833708216218433)
3-(123.88697510006429,38.8117089912482)
3-(259.07240265759856,15.631184070961252)
4-(313.9832679234816,19.46696261125586)
2-(85.83254285541064,5.829376446854586)
2-(105.01822437753536,48.2226540509091)
2-(112.61009420767166,55.69170236414263)
3-(149.87084049222062,36.95445381999961)
4-(68.69520676095965,1.7689752813981023)
