(Sx,Sy)
3-(39.954829519620944,29.966122139715708)
2-(37.59225323082024,28.194189923115182)
3-(56.99341612069917,42.745062090524385)
2-(38.80175385748372,29.101315393112788)
2-(36.41154865063294,27.308661487974703)
2-(23.39134868715371,22.5)
3-(34.304142394315704,25.728106795736778)
2-(37.56935703888503,28.177017779163773)
2-(41.56944609589614,31.177084571922105)
3-(42.77459500165829,32.080946251243724)
4-(41.63040159030307,31.222801192727307)
3-(33.50666774201971,25.130000806514783)
2-(36.34851484412333,27.261386133092497)
2-(35.89064075462264,26.917980565966978)
3-(39.879626134818345,29.90971960111376)
4-(40.43398220226494,30.325486651698707)
3-(30.808106977837582,23.106080233378187)
2-(40.44100623857135,30.33075467892851)
2-(10.0,22.5)
3-(31.871411474652472,23.903558605989357)
2-(40.36289336097565,30.272170020731735)
2-(40.41278506065283,30.309588795489624)
3-(24.40213093498622,22.5)
2-(31.849985051341868,23.887488788506403)
4-(36.996939693592466,27.74770477019435)
5-(40.37788144892468,30.283411086693512)
5-(27.333453195450797,22.5)
6-(35.93325167221236,26.94993875415927)
2-(42.74095708693714,32.055717815202854)
5-(31.936915334210386,23.95268650065779)
6-(24.38236775634126,22.5)
2-(35.83534011710791,26.876505087830935)
2-(42.240537920474026,31.68040344035552)
5-(40.443172788272754,30.332379591204568)
5-(38.79895882960615,29.099219122204612)
2-(49.527922745316665,37.1459420589875)
4-(49.12407402907075,36.843055521803066)
2-(34.27278810857878,25.704591081434085)
7-(39.95053400477898,29.962900503584237)
7-(31.96684971796141,23.975137288471057)
2-(47.894356851810855,35.920767638858145)
7-(39.91164060436577,29.93373045327433)
7-(33.12371206432989,24.842784048247417)
2-(38.77230580598329,29.079229354487467)
3-(53.11362977429489,39.83522233072117)
2-(36.33716425115627,27.2528731883672)
2-(37.602383113586725,28.201787335190044)
3-(50.763971656794126,38.072978742595595)
2-(31.916507742322636,23.937380806741977)
4-(39.85803812725622,29.893528595442167)
4-(26.335870396564008,22.5)
2-(43.91985322505115,32.93988991878837)
2-(35.920801297607845,26.940600973205886)
6-(31.838865374737846,23.879149031053387)
2-(52.99722683016429,39.74792012262322)
2-(44.387511696170485,33.29063377212787)
3-(52.44953917882791,39.337154384120936)
7-(23.41973059911045,22.5)
3-(48.4458239331983,36.33436794989873)
2-(39.9535158933691,29.965136920026826)
2-(47.95890140919488,35.96917605689616)
3-(31.902631444671446,23.926973583503585)
2-(52.437899826913174,39.32842487018488)
3-(30.227060656479804,22.670295492359855)
3-(43.80786122121127,32.855895915908455)
3-(37.131037186224155,27.84827788966812)
3-(38.25045865315631,28.687843989867233)
2-(44.37314285193524,33.279857138951435)
6-(30.30235809873955,22.726768574054663)
2-(55.91811141566051,41.93858356174539)
2-(42.74027229264353,32.055204219482654)
3-(36.40093617252931,27.300702129396985)
4-(41.077494340892116,30.808120755669087)
2-(45.61300196525501,34.20975147394126)
3-(39.94122971164624,29.95592228373468)
2-(37.12876078283761,27.84657058712821)
2-(56.40088607330133,42.300664554976)
3-(46.27126743078543,34.70345057308907)
2-(41.13109594986549,30.84832196239912)
3-(50.77466603200886,38.08099952400665)
2-(24.615192894170622,22.5)
3-(35.88651010607982,26.914882579559865)
2-(40.40529091616985,30.303968187127385)
2-(49.121985484668784,36.84148911350159)
3-(39.89785415429011,29.923390615717583)
2-(25.293172868302413,22.5)
2-(51.9302509621426,38.94768822160695)
2-(52.454724940062164,39.34104370504662)
2-(20.49755667274203,22.5)
2-(35.824609622453806,26.868457216840355)
2-(38.2885006828796,28.7163755121597)
2-(42.280463634292076,31.710347725719057)
2-(51.952052615423696,38.96403946156777)
2-(39.903698858858775,29.92777414414408)
3-(25.381139803930417,22.5)
2-(49.613285890567774,37.20996441792583)
3-(45.55408128776002,34.16556096582002)
5-(47.94718600327636,35.96038950245727)
3-(43.95414446672759,32.9656083500457)
2-(23.34701671136467,22.5)
2-(42.7808099375779,32.08560745318343)
2-(39.86230047226003,29.896725354195024)
2-(49.6227029159321,37.21702718694908)
3-(45.62318540266912,34.21738905200184)
4-(47.83374142189097,35.87530606641823)
2-(47.93541959380626,35.9515646953547)
2-(43.95897247744555,32.96922935808416)
3-(24.644064204801165,22.5)
3-(27.324565318433383,22.5)
2-(41.52821069190171,31.146158018926286)
2-(22.402913175760915,22.5)
2-(53.115045034013335,39.836283775510005)
3-(38.7004755607149,29.025356670536176)
2-(46.57476665415394,34.93107499061546)
3-(28.308844891693116,22.5)
4-(34.665599730110294,25.999199797582722)
3-(22.33619343072813,22.5)
4-(31.917826936831034,23.938370202623275)
3-(50.28023876332583,37.71017907249438)
2-(34.76217418533546,26.071630639001597)
3-(10.0,22.5)
2-(40.457601755139216,30.343201316354413)
2-(40.413056240579714,30.309792180434787)
4-(38.80129025445304,29.100967690839784)
4-(29.64000353490247,22.5)
2-(30.804504116166548,23.103378087124913)
2-(26.817978826131963,22.5)
5-(23.021262587591604,22.5)
2-(46.709790196594874,35.03234264744616)
3-(23.56865332890909,22.5)
4-(36.42792273907008,27.32094205430256)
5-(35.84964873916871,26.887236554376532)
3-(47.92479195991749,35.94359396993812)
2-(26.084473865368583,22.5)
2-(40.33365468386265,30.250241012896986)
2-(41.12077417421269,30.84058063065952)
3-(35.859594763656666,26.8946960727425)
4-(21.460858716860873,22.5)
2-(31.88776980806898,23.915827356051736)
2-(80.0,60.0)
3-(35.83344233384233,26.875081750381746)
4-(38.77742137686213,29.0830660326466)
3-(38.71111431748755,29.033335738115664)
5-(48.44861697098912,36.33646272824184)
4-(61.56979766227659,46.177348246707446)
4-(37.09031303148814,27.817734773616102)
2-(30.705345741862708,23.029009306397032)
2-(31.949057510189537,23.961793132642153)
2-(37.131599365841936,27.848699524381452)
3-(39.856637966745744,29.89247847505931)
3-(44.385192800054476,33.28889460004086)
2-(30.705345741862708,23.029009306397032)
2-(31.949057510189537,23.961793132642153)
2-(37.131599365841936,27.848699524381452)
3-(39.856637966745744,29.89247847505931)
3-(44.385192800054476,33.28889460004086)
2-(47.95668600078317,35.967514500587384)
3-(41.58228485765314,31.18671364323986)
2-(19.160806852234966,22.5)
3-(42.290704266505266,31.71802819987895)
3-(48.45401625237497,36.34051218928123)
4-(31.863425307979337,23.897568980984506)
3-(46.793580012415234,35.09518500931143)
3-(41.60793599790696,31.20595199843022)
3-(40.41866100506358,30.313995753797688)
2-(73.55468624479472,55.166014683596046)
2-(35.97098718843258,26.978240391324437)
2-(56.43139727182093,42.3235479538657)
2-(29.499738505799687,22.5)
2-(47.926242699684174,35.94468202476313)
2-(49.57124193313197,37.17843144984898)
2-(50.79106099886514,38.09329574914886)
3-(39.918633619510004,29.938975214632503)
3-(36.422873095568384,27.31715482167629)
3-(51.930949506048066,38.94821212953605)
4-(38.789055534204564,29.091791650653423)
3-(48.450731921341976,36.338048941006484)
3-(42.69930200763835,32.024476505728764)
3-(46.73137118270569,35.04852838702927)
2-(30.697707178614426,23.02328038396082)
2-(28.2672960386388,22.5)
2-(28.22064996739901,22.5)
2-(44.37927065913426,33.284452994350694)
4-(37.617122146029665,28.21284160952225)
2-(33.13444643663132,24.85083482747349)
2-(58.77548667278528,44.08161500458896)
2-(59.925567757282195,44.94417581796165)
3-(39.95811911177034,29.968589333827754)
3-(38.263367430712314,28.697525573034238)
2-(65.11045764929213,48.8328432369691)
2-(48.387356962626114,36.290517721969586)
2-(38.76644075655758,29.074830567418186)
2-(62.758322525208854,47.06874189390664)
2-(41.60327378173079,31.202455336298094)
2-(63.94668157931971,47.96001118448979)
2-(37.13213467698239,27.84910100773679)
3-(24.34860346934647,22.5)
2-(34.78684873351263,26.09013655013447)
2-(31.873129891375417,23.904847418531563)
3-(32.4698806072341,24.352410455425577)
3-(37.13603005355505,27.852022540166285)
4-(45.10872044263412,33.831540331975596)
2-(17.21833199686396,22.5)
2-(65.52332387063052,49.14249290297289)
2-(53.123206495362936,39.842404871522206)
2-(34.699895318165446,26.024921488624084)
3-(30.74362297348837,23.05771723011628)
3-(35.970579510574886,26.977934632931166)
2-(50.276038247187415,37.70702868539056)
2-(35.9233622695385,26.942521702153876)
5-(38.79955448235266,29.099665861764496)
4-(41.11316407478724,30.834873056090434)
2-(26.83057752927159,22.5)
2-(44.415418741125876,33.31156405584441)
3-(45.6243012052726,34.218225903954455)
2-(45.58854354846168,34.19140766134626)
4-(33.117755994576726,24.838316995932544)
3-(24.310455853707325,22.5)
4-(32.41783869036261,24.313379017771958)
3-(35.883174090170755,26.912380567628066)
4-(34.65202956719082,25.989022175393117)
2-(40.45666025814359,30.342495193607697)
4-(30.79123069259964,23.09342301944973)
4-(32.440227211728384,24.33017040879629)
2-(16.58758417526205,22.5)
2-(37.61575174395776,28.21181380796832)
3-(31.924204388326604,23.943153291244954)
4-(34.743186901318985,26.05739017598924)
3-(31.968709874170116,23.976532405627587)
4-(36.45564816837668,27.341736126282512)
4-(33.09448440812119,24.820863306090892)
5-(28.309210367000222,22.5)
4-(33.56422408927893,25.1731680669592)
2-(41.60726775773967,31.205450818304755)
3-(28.204179633913487,22.5)
5-(31.962978607496996,23.972233955622748)
2-(33.620924869274695,25.215693651956023)
2-(34.66116296623887,25.995872224679154)
2-(47.84073465032483,35.880550987743625)
4-(33.59424614072331,25.195684605542482)
3-(41.564729186513105,31.17354688988483)
3-(39.80013743591361,29.85010307693521)
2-(33.618346314786976,25.213759736090232)
5-(35.82272982662404,26.86704736996803)
2-(40.42132849628627,30.315996372214705)
3-(33.125337136886685,24.844002852665014)
3-(37.1364303923316,27.8523227942487)
2-(35.93185773483533,26.9488933011265)
3-(25.62380857948942,22.5)
2-(35.91710194006846,26.937826455051347)
4-(28.049221041168206,22.5)
5-(30.76095040740487,23.070712805553654)
3-(34.780543829532284,26.085407872149215)
3-(41.61194185116773,31.208956388375796)
3-(31.82708156141834,23.870311171063754)
3-(25.38108757761124,22.5)
4-(18.51748666847813,22.5)
3-(35.960247517034595,26.97018563777595)
4-(27.980208164663598,22.5)
3-(32.46865427325029,24.351490704937717)
2-(37.634625929345745,28.22596944700931)
3-(36.465640708897496,27.349230531673122)
3-(28.286693134794696,22.5)
4-(10.0,22.5)
2-(30.664065382932822,22.998049037199618)
2-(42.771218282251304,32.07841371168848)
2-(34.7488746976267,26.061656023220024)
3-(22.436992057346167,22.5)
4-(32.414319548330596,24.310739661247947)
4-(24.39550251649003,22.5)
4-(42.29423296997007,31.72067472747755)
5-(39.88450736911958,29.91338052683969)
5-(33.130808982663005,24.848106736997256)
2-(47.85856070213564,35.89392052660173)
6-(32.466947217893484,24.350210413420115)
2-(49.11179933068418,36.83384949801314)
4-(35.93653048004882,26.95239786003662)
4-(31.864815761456356,23.898611821092267)
5-(28.309362655624636,22.5)
3-(35.970335283122,26.977751462341498)
2-(46.79413991856648,35.095604938924865)
2-(31.885763573020583,23.914322679765437)
2-(23.42842406871402,22.5)
4-(34.793962123267875,26.095471592450906)
4-(39.961234109264446,29.970925581948336)
2-(29.564679086526823,22.5)
3-(35.952204557858686,26.964153418394016)
4-(43.89432528427322,32.92074396320492)
4-(31.974035771247205,23.980526828435405)
2-(47.95370014053287,35.965275105399655)
3-(10.817023833205878,22.5)
2-(33.5952563708789,25.196442278159175)
3-(26.59764394503759,22.5)
3-(34.30412218472612,25.72809163854459)
3-(37.516499819162746,28.13737486437206)
4-(34.77829416802006,26.083720626015047)
2-(39.96660688912132,29.974955166840992)
3-(10.0,22.5)
3-(17.567107698874505,22.5)
3-(44.459821164351425,33.34486587326357)
3-(43.88290830167993,32.91218122625995)
2-(46.79532680789801,35.09649510592351)
4-(30.807742052822558,23.10580653961692)
2-(36.43597452098025,27.32698089073519)
2-(32.44780633966799,24.335854754750994)
2-(54.699048255858834,41.02428619189413)
2-(31.868709182839417,23.901531887129565)
3-(40.45058616779721,30.33793962584791)
4-(37.51597440847713,28.136980806357847)
2-(50.72996069108968,38.04747051831726)
3-(32.459673495482114,24.344755121611588)
2-(42.719496917754554,32.039622688315916)
3-(38.73979116797345,29.054843375980088)
2-(23.27040987921803,22.5)
4-(42.28338787459582,31.712540905946863)
4-(34.76239048138591,26.07179286103943)
4-(25.375045848727567,22.5)
3-(35.8193756775764,26.864531758182302)
3-(30.654294149835117,22.99072061237634)
2-(31.97423994735725,23.98067996051794)
2-(50.78368372736505,38.087762795523794)
3-(25.421631250364683,22.5)
3-(41.5667384090758,31.175053806806854)
2-(39.96394705485554,29.972960291141653)
3-(25.346449277841167,22.5)
4-(25.288820093358094,22.5)
3-(35.95615460540207,26.967115954051554)
2-(43.883552560292095,32.91266442021907)
3-(36.956207593456284,27.717155695092213)
5-(22.43647275816881,22.5)
3-(34.73231693345453,26.049237700090895)
3-(36.378916995075805,27.284187746306856)
4-(31.967047208231474,23.975285406173608)
2-(28.12437844672398,22.5)
4-(39.87480389045853,29.9061029178439)
5-(28.292786250711366,22.5)
4-(24.40381087803293,22.5)
7-(31.93483299267779,23.951124744508345)
3-(35.848666319398774,26.88649973954908)
2-(39.83502937770482,29.876272033278617)
5-(25.835351035999228,22.5)
2-(33.58536946329023,25.189027097467672)
4-(30.80808689245613,23.1060651693421)
2-(42.712702367326116,32.03452677549459)
2-(37.53903968361741,28.15427976271306)
