Initial parameters - (55,45) cm
Number of elements - (Adaptive perimeter (cm) , Fixed perimeter(cm))
2-(227.491351440069,173.3267439543383)
3-(152.86081570326263,92.23092485942047)
2-(227.87688555238566,173.37765837831859)
3-(151.81871363398665,91.31125530160067)
2-(227.44865599169407,173.21826115496478)
3-(153.09793819380837,92.0059724722406)
2-(227.46240077447092,173.3960917296248)
3-(151.49781414348806,93.48523653244509)
2-(227.60312746971374,173.33590212630372)
3-(152.6252451348117,91.35501451578871)
2-(227.58461044649272,173.15528403201682)
3-(155.60485882451644,91.89839897636149)
2-(227.85866291927587,173.0451104407927)
3-(154.13498606680145,92.92348442304777)
2-(227.78933346328947,173.55377787679197)
3-(155.3062251595479,92.15570334526366)
2-(227.6266146825485,173.4298016628941)
3-(151.60577975422828,91.7710531199929)
2-(227.35891667495372,172.98356737227246)
3-(154.228152532423,91.21807596335708)
3-(141.0407339334143,2.347669066753375)
2-(365.932712290141,310.3893541746732)
3-(244.78371898798625,72.64018536597577)
3-(139.11020740091595,1.0728293629890688)
2-(365.5247009628325,310.798097690185)
3-(244.31843653984308,72.77570450122987)
3-(141.47503282533984,2.5360441223492414)
2-(366.3498171208574,309.9883067945717)
3-(243.20848370285887,72.44508025191543)
3-(141.26620904121123,1.0824996861395497)
2-(366.3453572966186,309.9845330971388)
3-(244.027268388057,72.14243992659244)
3-(141.11895218777747,2.713826003611105)
2-(366.34466739165543,309.9839493314008)
3-(242.8611896716978,71.41372805161035)
3-(140.90919680317634,1.9820986762595136)
2-(365.9328195246464,310.7978522971606)
3-(243.73460134115473,72.32885706092497)
3-(140.55420794616742,1.7973683880584068)
2-(365.52945490409445,311.21055266694964)
3-(245.5333555654375,72.97415930771662)
3-(140.12608633344868,2.5247943483504267)
2-(365.52864128851695,310.80144806766634)
3-(243.6248753756023,72.2962956041821)
3-(140.36195581617713,1.6174873269469834)
2-(365.9349931335076,310.39128881860023)
3-(244.7280422763852,72.34961160242518)
3-(140.4539684032652,0.7184346209885688)
2-(365.52646246656656,311.20800491566894)
3-(245.45564394098213,73.03266363344659)
3-(141.0407339334143,2.347669066753375)
3-(124.15979394557664,85.92766227331066)
3-(139.2166405247052,1.7917199552729115)
3-(124.12701350977855,85.1481037795737)
3-(141.98738250513668,2.9051126855270932)
3-(125.59922516582806,86.89493221442484)
3-(138.95642173068836,0.3567558966128071)
3-(126.91108526992566,87.27519077121013)
3-(140.84858808972635,0.9005664200110378)
3-(124.67394134567446,86.02123004701551)
3-(140.82978477049295,0.7259267256210977)
3-(126.50483982379185,87.75560960749524)
3-(141.52608832434396,2.5337151362414514)
3-(125.94831330054875,87.25334957568136)
3-(140.55191180861172,2.8905277492773616)
3-(122.42211598026324,82.87035543279359)
3-(142.64619469715026,2.5472534767348263)
3-(125.40937555573417,86.38470582086826)
3-(140.34438303613027,1.078189882479874)
3-(123.76888548636812,85.16207716951934)
3-(141.0407339334143,2.347669066753375)
2-(235.07169559632317,172.2247641258409)
3-(140.936858730189,2.165483104689203)
2-(235.03926008445194,172.20100031894293)
3-(140.09219548547256,1.980737982442414)
2-(234.59173565099192,172.23573881988955)
3-(141.0030285010432,1.6227970032089367)
2-(234.76939352275156,172.14405272480107)
3-(141.30702704949178,2.529793323136682)
2-(234.9538875694108,172.35999474203882)
3-(141.80535547338684,2.354367332252911)
2-(235.33966961225758,172.2807068571783)
3-(141.92248903847303,3.0852715008363703)
2-(234.9094765437632,172.32741522515448)
3-(139.14939535841788,1.6138460801878365)
2-(234.996165817709,172.39100967322284)
3-(139.81445573810808,1.2547451155984062)
2-(235.10691477920554,172.55276136108787)
3-(142.06694110850236,1.4570968318820756)
2-(234.70616734411462,172.40014869348627)
2-(227.16166039576612,175.54895318572954)
2-(26.89203311473289,0.0)
