Nb of members - (Sx,Sy)
2-(22.433323819475476,22.5)
3-(42.283075066737084,31.712306300052813)
2-(22.433001513558732,22.5)
3-(42.27933703161879,31.709502773714092)
2-(23.95159912930716,22.5)
3-(42.289897360015864,31.7174230200119)
2-(23.381935837438174,22.5)
3-(42.778639398822705,32.08397954911703)
2-(23.99604391038104,22.5)
3-(42.29271716768191,31.719537875761432)
2-(22.3818197653854,22.5)
3-(41.630206858272345,31.22265514370426)
2-(22.4214282164153,22.5)
3-(42.293856143748236,31.72039210781118)
2-(22.45201093042489,22.5)
3-(42.27095558659084,31.70321668994313)
2-(22.437529237765656,22.5)
3-(42.29404441894114,31.720533314205856)
2-(22.350521495293,22.5)
3-(42.262870967888766,31.697153225916576)
3-(10.0,22.5)
2-(47.14045207910317,35.35533905932738)
3-(10.016410269282705,22.5)
3-(10.0,22.5)
2-(47.456411176894434,35.59230838267083)
3-(10.125931598741742,22.5)
3-(10.0,22.5)
2-(46.7138328218502,35.03537461638765)
3-(10.0,22.5)
3-(10.0,22.5)
2-(46.8722555496082,35.15419166220615)
3-(10.131090416270714,22.5)
3-(10.0,22.5)
2-(46.6940342328582,35.02052567464365)
3-(10.0,22.5)
3-(10.0,22.5)
2-(47.22791481811036,35.42093611358277)
3-(10.0,22.5)
3-(10.0,22.5)
2-(47.446727946842785,35.58504596013209)
3-(10.241155517291238,22.5)
3-(10.0,22.5)
2-(47.242799324744496,35.432099493558376)
3-(10.0,22.5)
3-(10.0,22.5)
2-(47.03843141673207,35.27882356254905)
3-(10.222436559670488,22.5)
3-(10.0,22.5)
2-(47.517487077044024,35.63811530778302)
3-(10.397754122410145,22.5)
3-(10.0,22.5)
3-(49.12231985400259,36.84173989050195)
3-(10.0,22.5)
3-(49.58671443609093,37.1900358270682)
3-(10.0,22.5)
3-(49.11358073514618,36.835185551359636)
3-(10.0,22.5)
3-(49.60053578551347,37.200401839135104)
3-(10.0,22.5)
3-(49.123506492943974,36.842629869707984)
3-(10.0,22.5)
3-(49.117667874786974,36.83825090609023)
3-(10.0,22.5)
3-(49.119978171421124,36.83998362856585)
3-(10.0,22.5)
3-(49.12467162523195,36.84350371892396)
3-(10.0,22.5)
3-(49.114313719607075,36.83573528970531)
3-(10.0,22.5)
3-(49.12284253458438,36.842131900938284)
3-(10.0,22.5)
2-(10.0,22.5)
3-(10.0,22.5)
2-(10.0,22.5)
3-(10.0,22.5)
2-(10.0,22.5)
3-(10.0,22.5)
2-(10.0,22.5)
3-(10.0,22.5)
2-(10.0,22.5)
3-(10.0,22.5)
2-(10.0,22.5)
3-(10.0,22.5)
2-(10.0,22.5)
3-(10.0,22.5)
2-(10.0,22.5)
3-(10.0,22.5)
2-(10.0,22.5)
3-(10.0,22.5)
2-(10.0,22.5)
2-(27.313149846798414,22.5)
2-(20.0,22.5)
2-(65.60868470517846,49.206513528883846)
2-(67.89405427605234,50.92054070703926)
2-(28.194390107585736,22.5)
2-(19.772424763494797,22.5)
2-(65.60303178006022,49.20227383504517)
2-(67.89663566717384,50.92247675038038)
2-(27.30893308364261,22.5)
2-(19.90115251142858,22.5)
2-(65.58377845184047,49.18783383888036)
2-(67.89324644561009,50.91993483420757)
2-(27.331344829627028,22.5)
2-(20.34249759221622,22.5)
2-(65.60182651605157,49.20136988703868)
2-(67.90166283504712,50.92624712628534)
2-(26.35661515513795,22.5)
2-(19.900775677203303,22.5)
2-(65.6053033007869,49.20397747559018)
2-(67.90465463865736,50.928490978993025)
2-(28.205929571134913,22.5)
2-(19.951916419144933,22.5)
2-(65.61283686189702,49.20962764642277)
2-(67.8617542526559,50.89631568949193)
2-(26.898985410211832,22.5)
2-(19.919179558452928,22.5)
2-(65.59283251692278,49.19462438769209)
2-(67.92735811196007,50.945518583970056)
2-(28.238308842441565,22.5)
2-(19.888385058623015,22.5)
2-(65.57201818178487,49.17901363633865)
2-(67.90742483792768,50.93056862844576)
2-(27.331175987076875,22.5)
2-(19.78795142493675,22.5)
2-(65.59078040357835,49.19308530268376)
2-(67.88720281519363,50.915402111395224)
2-(28.234307669863412,22.5)
2-(20.071611851500915,22.5)
2-(65.61158907632976,49.20869180724733)
2-(67.91638254489693,50.937286908672704)
2-(26.666666666666664,22.5)
2-(39.96671645665104,29.97503734248828)
3-(47.90434433738068,35.92825825303551)
2-(26.38744466349754,22.5)
2-(40.46184540322616,30.34638405241962)
3-(47.9440561828534,35.958042137140055)
2-(26.716334136858293,22.5)
2-(39.96550639374356,29.97412979530767)
3-(47.91302294376054,35.93476720782041)
2-(26.876072595059007,22.5)
2-(40.457918619400374,30.34343896455028)
3-(47.94213220588516,35.95659915441387)
2-(26.09762512688609,22.5)
2-(41.03123818737605,30.773428640532035)
3-(47.88520665547142,35.913904991603566)
2-(27.277547894820188,22.5)
2-(40.995869118690734,30.74690183901805)
3-(47.93861634413905,35.95396225810429)
2-(26.531881591422696,22.5)
2-(39.94685057480904,29.960137931106782)
3-(47.89919459540538,35.92439594655404)
2-(26.70482519481604,22.5)
2-(41.03433195205999,30.775748964044997)
3-(47.92982812168286,35.94737109126215)
2-(26.358259694953404,22.5)
2-(39.96202098902475,29.971515741768563)
3-(47.89030555979776,35.91772916984832)
2-(26.710391117343608,22.5)
2-(39.964379571470246,29.973284678602685)
3-(47.86844000273584,35.90133000205188)
2-(60.343869561534525,45.257902171150896)
2-(43.841764819035944,32.88132361427696)
2-(39.96671645665094,29.975037342488207)
2-(59.94973117448769,44.96229838086577)
2-(43.85379265369417,32.89034449027063)
2-(41.03649818836205,30.77737364127154)
2-(59.9516126556391,44.96370949172933)
2-(43.83978293954327,32.879837204657456)
2-(39.958601351144566,29.968951013358424)
2-(60.36983569791528,45.27737677343646)
2-(42.79850038666319,32.098875289997395)
2-(39.96596487223087,29.974473654173153)
2-(60.40740068946549,45.30555051709912)
2-(43.84548247420285,32.884111855652144)
2-(41.06213136122895,30.796598520921712)
2-(60.357780782271476,45.26833558670361)
2-(43.90420575134361,32.92815431350771)
2-(39.94885876507664,29.961644073807484)
2-(60.37898349730903,45.28423762298178)
2-(43.842406425252484,32.881804818939365)
2-(41.0356350518344,30.7767262888758)
2-(59.941974271276095,44.956480703457075)
2-(43.839192451763516,32.87939433882264)
2-(39.96776967828644,29.97582725871483)
2-(60.37435380618555,45.280765354639165)
2-(42.79157192923301,32.09367894692476)
2-(40.46403954098636,30.348029655739772)
2-(60.368959566626124,45.2767196749696)
2-(43.827687423340095,32.870765567505075)
2-(39.9673156080566,29.975486706042453)
2-(37.517914277619134,28.138435708214352)
2-(32.44755824305589,24.335668682291917)
2-(37.134369669299616,27.850777251974712)
2-(32.4614748980112,24.3461061735084)
2-(37.53408927680619,28.150566957604646)
2-(32.45447893366133,24.340859200245998)
2-(37.581196615897376,28.185897461923034)
2-(32.45633764871201,24.342253236534006)
2-(36.46661800264046,27.349963501980344)
2-(32.46889477620874,24.351671082156557)
2-(37.521663918582526,28.141247938936896)
2-(32.4555397564883,24.341654817366226)
2-(37.13012078840514,27.847590591303852)
2-(31.971164376292265,23.9783732822192)
2-(37.626433765897694,28.219825324423272)
2-(32.43952392322113,24.32964294241585)
2-(37.60751375421826,28.205635315663695)
2-(32.99052194499418,24.742891458745635)
2-(37.5800563184743,28.185042238855726)
2-(31.97428487725715,23.980713657942864)
2-(26.666666666666664,22.5)
3-(10.0,22.5)
2-(43.841764819035944,32.88132361427696)
2-(26.705642422219018,22.5)
3-(10.0,22.5)
2-(42.776128635116144,32.082096476337114)
2-(26.610241419552615,22.5)
3-(10.0,22.5)
2-(43.87244965149904,32.90433723862428)
2-(26.429123594936954,22.5)
3-(10.0,22.5)
2-(42.78528178764305,32.08896134073229)
2-(26.792887136009444,22.5)
3-(10.0,22.5)
2-(43.84351979507256,32.88263984630442)
2-(26.75937061619205,22.5)
3-(10.0,22.5)
2-(43.85061896248001,32.88796422186001)
2-(27.064821942312115,22.5)
3-(10.0,22.5)
2-(43.87751587621959,32.908136907164696)
2-(26.77598079216212,22.5)
3-(10.0,22.5)
2-(43.86288336762491,32.897162525718684)
2-(26.790408275847646,22.5)
3-(10.0,22.5)
2-(43.855231432569575,32.891423574427186)
2-(26.906023276523094,22.5)
3-(10.0,22.5)
2-(43.881854141652354,32.911390606239266)
2-(51.85203632820211,38.889027246151585)
2-(39.96671645665104,29.97503734248828)
2-(50.789502689795306,38.092127017346485)
2-(39.94738872414795,29.960541543110963)
2-(50.790636529628934,38.0929773972217)
2-(39.956388143435206,29.967291107576404)
2-(51.863397646409666,38.89754823480725)
2-(41.040659847810126,30.780494885857596)
2-(51.86915540710788,38.90186655533091)
2-(41.03197378445497,30.77398033834123)
2-(50.78850398611654,38.09137798958741)
2-(39.92383329715087,29.942874972863155)
2-(51.841506050354084,38.88112953776557)
2-(41.04644193350594,30.784831450129456)
2-(50.784794711522906,38.08859603364218)
2-(41.034754515780264,30.776065886835198)
2-(51.83786780008643,38.87840085006482)
2-(40.463576050173174,30.34768203762988)
2-(50.787326104834115,38.09049457862559)
2-(39.95727227778641,29.96795420833981)
